cid,description,seattle_data_id,info_url,csv_url,latitude,longitude,bicycle,pedestrian
1,Elliot Bay Trail in Myrtle Edwards Park Bike and Ped counter,4qej-qvrz,https://data.seattle.gov/Transportation/Elliott-Bay-Trail-in-Myrtle-Edwards-Park-Bicycle-a/4qej-qvrz,https://data.seattle.gov/api/views/4qej-qvrz/rows.csv,47.618729,-122.360288,1,1
2,2nd Ave Cycle Track South of Cedar St Bicycle Counter,heuk-48p8,https://data.seattle.gov/Transportation/2nd-Ave-Cycle-Track-South-of-Cedar-St-Bicycle-Coun/heuk-48p8,https://data.seattle.gov/api/views/heuk-48p8/rows.csv,47.616313,-122.349523,1,0
3,Broadway Cycle Track North Of E Union St Bicycle Counter,j4vh-b42a,https://data.seattle.gov/Transportation/Broadway-Cycle-Track-North-Of-E-Union-St-Bicycle-C/j4vh-b42a,https://data.seattle.gov/api/views/j4vh-b42a/rows.csv,47.613591,-122.320818,1,0
4,26th Ave SW Greenway at SW Oregon St Bicycle Counter,mefu-7eau,https://data.seattle.gov/Transportation/26th-Ave-SW-Greenway-at-SW-Oregon-St-Bicycle-Count/mefu-7eau,https://data.seattle.gov/api/views/mefu-7eau/rows.csv,47.562741,-122.365478,1,0
5,NW 58th St Greenway at 22nd Ave NW Bicycle Counter,47yq-6ugv,https://data.seattle.gov/Transportation/NW-58th-St-Greenway-at-22nd-Ave-NW-Bicycle-Counter/47yq-6ugv,https://data.seattle.gov/api/views/47yq-6ugv/rows.csv,47.67091,-122.385196,1,0
6,Westlake PBL at Newton St Bicycle Counter,675b-cqew,https://data.seattle.gov/Transportation/Westlake-PBL-at-Newton-St-Bicycle-Counter/675b-cqew,https://data.seattle.gov/api/views/675b-cqew/rows.csv,47.636451,-122.340072,1,0
7,2nd Ave Cycle Track North of Marion St Bicycle Counter,avwm-i8ym,https://data.seattle.gov/Transportation/2nd-Ave-Cycle-Track-North-of-Marion-St-Bicycle-Cou/avwm-i8ym,https://data.seattle.gov/api/views/avwm-i8ym/rows.csv,47.604446,-122.334498,1,0
8,7th Ave South of Blanchard St Bicycle Counter,qfzg-zmyj,https://data.seattle.gov/Transportation/7th-Ave-South-of-Blanchard-St-Bicycle-Counter/qfzg-zmyj,https://data.seattle.gov/api/views/qfzg-zmyj/rows.csv,47.616383,-122.339681,1,0
9,MTS Trail west of I-90 Bridge Bicycle and Pedestrian Counter,u38e-ybnc,https://data.seattle.gov/Transportation/MTS-Trail-west-of-I-90-Bridge-Bicycle-and-Pedestri/u38e-ybnc,https://data.seattle.gov/api/views/u38e-ybnc/rows.csv,47.59048,-122.287086,1,1
10,Burke Gilman Trail north of NE 70th St Bicycle and Pedestrian Counter,2z5v-ecg8,https://data.seattle.gov/Transportation/Burke-Gilman-Trail-north-of-NE-70th-St-Bicycle-and/2z5v-ecg8,https://data.seattle.gov/api/views/2z5v-ecg8/rows.csv,47.679497,-122.263701,1,1
11,Fremont Bridge Bicycle Counter,65db-xm6k,https://data.seattle.gov/Transportation/Fremont-Bridge-Bicycle-Counter/65db-xm6k,https://data.seattle.gov/api/views/65db-xm6k/rows.csv,47.647589,-122.34987,1,0
12,Chief Sealth Train North of Thistle Bicycle Counter,uh8h-bme7,https://data.seattle.gov/Transportation/Chief-Sealth-Trail-North-of-Thistle-Bicycle-Counte/uh8h-bme7,https://data.seattle.gov/api/views/uh8h-bme7/rows.csv,47.527886,-122.280987,1,0
13,39th Ave NE Greenway at NE 62nd St Bicycle Counter,3h7e-f49s,https://data.seattle.gov/Transportation/39th-Ave-NE-Greenway-at-NE-62nd-St-Bicycle-Counter/3h7e-f49s,https://data.seattle.gov/api/views/3h7e-f49s/rows.csv,47.673747,-122.285797,1,0
